warm0
Epoch: [0][0/1562]	Time: 0.520 (0.520)	Epoch time [hr]: 0.000 (0.226)	Memory: 2.386 (2.422)	Loss: 2.3051 (2.3051)	Prec@1: 9.375 (9.375)	Prec@5: 50.000 (50.000)	Running Time: 8.914
Epoch: [0][10/1562]	Time: 0.200 (0.228)	Epoch time [hr]: 0.001 (0.099)	Memory: 3.511 (4.358)	Loss: 2.2974 (2.3043)	Prec@1: 3.125 (9.943)	Prec@5: 46.875 (50.568)	Running Time: 10.898
Epoch: [0][20/1562]	Time: 0.275 (0.249)	Epoch time [hr]: 0.001 (0.108)	Memory: 3.511 (4.358)	Loss: 2.3093 (2.3064)	Prec@1: 18.750 (11.310)	Prec@5: 53.125 (47.917)	Running Time: 13.617
Epoch: [0][30/1562]	Time: 0.301 (0.258)	Epoch time [hr]: 0.002 (0.112)	Memory: 3.511 (4.358)	Loss: 2.3001 (2.3042)	Prec@1: 6.250 (11.290)	Prec@5: 56.250 (49.798)	Running Time: 16.392
Epoch: [0][40/1562]	Time: 0.345 (0.279)	Epoch time [hr]: 0.003 (0.121)	Memory: 3.511 (4.358)	Loss: 2.3106 (2.3024)	Prec@1: 12.500 (11.585)	Prec@5: 59.375 (50.534)	Running Time: 19.822
Epoch: [0][50/1562]	Time: 0.342 (0.291)	Epoch time [hr]: 0.004 (0.126)	Memory: 3.511 (4.358)	Loss: 2.3072 (2.3000)	Prec@1: 6.250 (11.949)	Prec@5: 53.125 (51.961)	Running Time: 23.247
Epoch: [0][60/1562]	Time: 0.351 (0.300)	Epoch time [hr]: 0.005 (0.130)	Memory: 3.511 (4.358)	Loss: 2.2689 (2.2989)	Prec@1: 18.750 (12.039)	Prec@5: 68.750 (52.459)	Running Time: 26.686
Epoch: [0][70/1562]	Time: 0.349 (0.307)	Epoch time [hr]: 0.006 (0.133)	Memory: 3.511 (4.358)	Loss: 2.3283 (2.2974)	Prec@1: 6.250 (11.928)	Prec@5: 40.625 (52.905)	Running Time: 30.160
Epoch: [0][80/1562]	Time: 0.345 (0.312)	Epoch time [hr]: 0.007 (0.135)	Memory: 3.511 (4.358)	Loss: 2.2777 (2.2960)	Prec@1: 12.500 (11.921)	Prec@5: 46.875 (52.469)	Running Time: 33.626
Epoch: [0][90/1562]	Time: 0.349 (0.315)	Epoch time [hr]: 0.008 (0.137)	Memory: 3.511 (4.358)	Loss: 2.2981 (2.2953)	Prec@1: 9.375 (11.848)	Prec@5: 56.250 (52.473)	Running Time: 37.103
Epoch: [0][100/1562]	Time: 0.349 (0.318)	Epoch time [hr]: 0.009 (0.138)	Memory: 3.511 (4.358)	Loss: 2.2806 (2.2933)	Prec@1: 12.500 (12.036)	Prec@5: 65.625 (53.063)	Running Time: 40.562
Epoch: [0][110/1562]	Time: 0.349 (0.321)	Epoch time [hr]: 0.010 (0.139)	Memory: 3.511 (4.358)	Loss: 2.2887 (2.2899)	Prec@1: 6.250 (11.965)	Prec@5: 50.000 (53.519)	Running Time: 44.019
Epoch: [0][120/1562]	Time: 0.342 (0.323)	Epoch time [hr]: 0.011 (0.140)	Memory: 3.511 (4.358)	Loss: 2.2568 (2.2875)	Prec@1: 18.750 (12.113)	Prec@5: 65.625 (53.977)	Running Time: 47.462
Epoch: [0][130/1562]	Time: 0.344 (0.325)	Epoch time [hr]: 0.012 (0.141)	Memory: 3.511 (4.358)	Loss: 2.2339 (2.2852)	Prec@1: 12.500 (12.333)	Prec@5: 71.875 (54.365)	Running Time: 50.918
Epoch: [0][140/1562]	Time: 0.342 (0.326)	Epoch time [hr]: 0.013 (0.141)	Memory: 3.511 (4.358)	Loss: 2.2207 (2.2795)	Prec@1: 9.375 (12.766)	Prec@5: 62.500 (55.009)	Running Time: 54.367
Epoch: [0][150/1562]	Time: 0.355 (0.327)	Epoch time [hr]: 0.014 (0.142)	Memory: 3.511 (4.358)	Loss: 2.2441 (2.2746)	Prec@1: 21.875 (13.286)	Prec@5: 62.500 (55.671)	Running Time: 57.810
Epoch: [0][160/1562]	Time: 0.343 (0.328)	Epoch time [hr]: 0.015 (0.143)	Memory: 3.511 (4.358)	Loss: 2.1808 (2.2685)	Prec@1: 15.625 (13.839)	Prec@5: 71.875 (56.502)	Running Time: 61.277
Epoch: [0][170/1562]	Time: 0.361 (0.329)	Epoch time [hr]: 0.016 (0.143)	Memory: 3.563 (4.358)	Loss: 2.1249 (2.2650)	Prec@1: 31.250 (14.108)	Prec@5: 71.875 (56.963)	Running Time: 64.725
Epoch: [0][180/1562]	Time: 0.329 (0.330)	Epoch time [hr]: 0.017 (0.143)	Memory: 3.511 (4.358)	Loss: 2.0972 (2.2595)	Prec@1: 28.125 (14.399)	Prec@5: 81.250 (57.942)	Running Time: 68.166
Epoch: [0][190/1562]	Time: 0.362 (0.331)	Epoch time [hr]: 0.018 (0.144)	Memory: 3.563 (4.358)	Loss: 2.3113 (2.2562)	Prec@1: 12.500 (14.627)	Prec@5: 71.875 (58.639)	Running Time: 71.635
Epoch: [0][200/1562]	Time: 0.328 (0.332)	Epoch time [hr]: 0.019 (0.144)	Memory: 3.511 (4.358)	Loss: 1.9708 (2.2470)	Prec@1: 28.125 (15.267)	Prec@5: 93.750 (59.577)	Running Time: 75.071
Epoch: [0][210/1562]	Time: 0.355 (0.332)	Epoch time [hr]: 0.019 (0.144)	Memory: 3.511 (4.358)	Loss: 2.3086 (2.2408)	Prec@1: 25.000 (15.581)	Prec@5: 75.000 (60.515)	Running Time: 78.534
Epoch: [0][220/1562]	Time: 0.336 (0.333)	Epoch time [hr]: 0.020 (0.144)	Memory: 3.511 (4.358)	Loss: 2.0882 (2.2382)	Prec@1: 34.375 (15.837)	Prec@5: 68.750 (60.902)	Running Time: 81.961
Epoch: [0][230/1562]	Time: 0.342 (0.333)	Epoch time [hr]: 0.021 (0.145)	Memory: 3.511 (4.358)	Loss: 2.1728 (2.2339)	Prec@1: 21.875 (16.112)	Prec@5: 68.750 (61.391)	Running Time: 85.405
Epoch: [0][240/1562]	Time: 0.339 (0.334)	Epoch time [hr]: 0.022 (0.145)	Memory: 3.511 (4.358)	Loss: 1.8928 (2.2283)	Prec@1: 43.750 (16.455)	Prec@5: 81.250 (61.916)	Running Time: 88.847
Epoch: [0][250/1562]	Time: 0.331 (0.334)	Epoch time [hr]: 0.023 (0.145)	Memory: 3.511 (4.358)	Loss: 2.1155 (2.2214)	Prec@1: 31.250 (16.758)	Prec@5: 71.875 (62.413)	Running Time: 92.280
Epoch: [0][260/1562]	Time: 0.355 (0.335)	Epoch time [hr]: 0.024 (0.145)	Memory: 3.563 (4.358)	Loss: 2.2402 (2.2163)	Prec@1: 18.750 (16.954)	Prec@5: 65.625 (62.883)	Running Time: 95.702
Epoch: [0][270/1562]	Time: 0.354 (0.335)	Epoch time [hr]: 0.025 (0.145)	Memory: 3.563 (4.358)	Loss: 2.1535 (2.2130)	Prec@1: 28.125 (17.078)	Prec@5: 65.625 (63.319)	Running Time: 99.201
Epoch: [0][280/1562]	Time: 0.342 (0.335)	Epoch time [hr]: 0.026 (0.146)	Memory: 3.511 (4.358)	Loss: 2.0568 (2.2080)	Prec@1: 28.125 (17.415)	Prec@5: 78.125 (63.846)	Running Time: 102.626
Epoch: [0][290/1562]	Time: 0.349 (0.336)	Epoch time [hr]: 0.027 (0.146)	Memory: 3.511 (4.358)	Loss: 1.9036 (2.2013)	Prec@1: 43.750 (17.687)	Prec@5: 75.000 (64.422)	Running Time: 106.083
Epoch: [0][300/1562]	Time: 0.345 (0.336)	Epoch time [hr]: 0.028 (0.146)	Memory: 3.511 (4.358)	Loss: 2.2245 (2.1947)	Prec@1: 15.625 (18.034)	Prec@5: 78.125 (65.012)	Running Time: 109.552
Epoch: [0][310/1562]	Time: 0.353 (0.336)	Epoch time [hr]: 0.029 (0.146)	Memory: 3.511 (4.358)	Loss: 2.1655 (2.1901)	Prec@1: 21.875 (18.318)	Prec@5: 65.625 (65.324)	Running Time: 113.005
Epoch: [0][320/1562]	Time: 0.339 (0.337)	Epoch time [hr]: 0.030 (0.146)	Memory: 3.511 (4.358)	Loss: 2.1387 (2.1863)	Prec@1: 15.625 (18.536)	Prec@5: 68.750 (65.547)	Running Time: 116.441
Epoch: [0][330/1562]	Time: 0.350 (0.337)	Epoch time [hr]: 0.031 (0.146)	Memory: 3.511 (4.358)	Loss: 2.1868 (2.1832)	Prec@1: 12.500 (18.656)	Prec@5: 75.000 (65.776)	Running Time: 119.893
Epoch: [0][340/1562]	Time: 0.343 (0.337)	Epoch time [hr]: 0.032 (0.146)	Memory: 3.511 (4.358)	Loss: 2.0805 (2.1805)	Prec@1: 40.625 (18.887)	Prec@5: 81.250 (66.102)	Running Time: 123.367
Epoch: [0][350/1562]	Time: 0.356 (0.337)	Epoch time [hr]: 0.033 (0.146)	Memory: 3.563 (4.358)	Loss: 1.9386 (2.1774)	Prec@1: 31.250 (19.026)	Prec@5: 84.375 (66.400)	Running Time: 126.836
Epoch: [0][360/1562]	Time: 0.344 (0.338)	Epoch time [hr]: 0.034 (0.147)	Memory: 3.511 (4.358)	Loss: 1.9469 (2.1742)	Prec@1: 21.875 (19.209)	Prec@5: 81.250 (66.733)	Running Time: 130.321
Epoch: [0][370/1562]	Time: 0.352 (0.338)	Epoch time [hr]: 0.035 (0.147)	Memory: 3.563 (4.358)	Loss: 2.1155 (2.1721)	Prec@1: 15.625 (19.272)	Prec@5: 71.875 (66.931)	Running Time: 133.751
Epoch: [0][380/1562]	Time: 0.344 (0.338)	Epoch time [hr]: 0.036 (0.147)	Memory: 3.511 (4.358)	Loss: 2.0383 (2.1691)	Prec@1: 25.000 (19.341)	Prec@5: 81.250 (67.192)	Running Time: 137.223
Epoch: [0][390/1562]	Time: 0.330 (0.338)	Epoch time [hr]: 0.037 (0.147)	Memory: 3.511 (4.358)	Loss: 2.1387 (2.1675)	Prec@1: 28.125 (19.357)	Prec@5: 68.750 (67.375)	Running Time: 140.700
Epoch: [0][400/1562]	Time: 0.349 (0.338)	Epoch time [hr]: 0.038 (0.147)	Memory: 3.511 (4.358)	Loss: 2.0887 (2.1650)	Prec@1: 18.750 (19.405)	Prec@5: 78.125 (67.643)	Running Time: 144.122
Epoch: [0][410/1562]	Time: 0.349 (0.339)	Epoch time [hr]: 0.039 (0.147)	Memory: 3.511 (4.358)	Loss: 1.9978 (2.1605)	Prec@1: 18.750 (19.564)	Prec@5: 75.000 (67.967)	Running Time: 147.571
Epoch: [0][420/1562]	Time: 0.351 (0.339)	Epoch time [hr]: 0.040 (0.147)	Memory: 3.511 (4.358)	Loss: 2.0425 (2.1567)	Prec@1: 18.750 (19.722)	Prec@5: 81.250 (68.238)	Running Time: 151.044
Epoch: [0][430/1562]	Time: 0.352 (0.339)	Epoch time [hr]: 0.041 (0.147)	Memory: 3.511 (4.358)	Loss: 1.7877 (2.1508)	Prec@1: 31.250 (19.990)	Prec@5: 93.750 (68.627)	Running Time: 154.469
Epoch: [0][440/1562]	Time: 0.323 (0.339)	Epoch time [hr]: 0.042 (0.147)	Memory: 3.511 (4.358)	Loss: 1.9516 (2.1476)	Prec@1: 37.500 (20.118)	Prec@5: 78.125 (68.870)	Running Time: 157.892
Epoch: [0][450/1562]	Time: 0.330 (0.339)	Epoch time [hr]: 0.042 (0.147)	Memory: 3.511 (4.358)	Loss: 2.1198 (2.1438)	Prec@1: 25.000 (20.233)	Prec@5: 75.000 (69.131)	Running Time: 161.271
Epoch: [0][460/1562]	Time: 0.359 (0.339)	Epoch time [hr]: 0.043 (0.147)	Memory: 3.563 (4.358)	Loss: 1.7502 (2.1394)	Prec@1: 21.875 (20.404)	Prec@5: 81.250 (69.394)	Running Time: 164.755
Epoch: [0][470/1562]	Time: 0.335 (0.339)	Epoch time [hr]: 0.044 (0.147)	Memory: 3.511 (4.358)	Loss: 2.1292 (2.1373)	Prec@1: 21.875 (20.575)	Prec@5: 81.250 (69.599)	Running Time: 168.127
Epoch: [0][480/1562]	Time: 0.339 (0.339)	Epoch time [hr]: 0.045 (0.147)	Memory: 3.511 (4.358)	Loss: 2.0154 (2.1350)	Prec@1: 34.375 (20.771)	Prec@5: 68.750 (69.679)	Running Time: 171.521
Epoch: [0][490/1562]	Time: 0.340 (0.339)	Epoch time [hr]: 0.046 (0.147)	Memory: 3.511 (4.358)	Loss: 1.9065 (2.1332)	Prec@1: 34.375 (20.825)	Prec@5: 84.375 (69.870)	Running Time: 174.944
Epoch: [0][500/1562]	Time: 0.341 (0.339)	Epoch time [hr]: 0.047 (0.147)	Memory: 3.511 (4.358)	Loss: 2.0583 (2.1302)	Prec@1: 25.000 (20.871)	Prec@5: 78.125 (70.029)	Running Time: 178.391
Epoch: [0][510/1562]	Time: 0.352 (0.339)	Epoch time [hr]: 0.048 (0.147)	Memory: 3.511 (4.358)	Loss: 1.8562 (2.1264)	Prec@1: 37.500 (21.037)	Prec@5: 81.250 (70.224)	Running Time: 181.834
Epoch: [0][520/1562]	Time: 0.340 (0.339)	Epoch time [hr]: 0.049 (0.147)	Memory: 3.511 (4.358)	Loss: 2.0264 (2.1228)	Prec@1: 25.000 (21.227)	Prec@5: 81.250 (70.417)	Running Time: 185.263
Epoch: [0][530/1562]	Time: 0.346 (0.340)	Epoch time [hr]: 0.050 (0.147)	Memory: 3.511 (4.358)	Loss: 1.8844 (2.1197)	Prec@1: 40.625 (21.375)	Prec@5: 81.250 (70.621)	Running Time: 188.735
Epoch: [0][540/1562]	Time: 0.343 (0.340)	Epoch time [hr]: 0.051 (0.147)	Memory: 3.511 (4.358)	Loss: 1.9939 (2.1170)	Prec@1: 31.250 (21.517)	Prec@5: 81.250 (70.806)	Running Time: 192.214
Epoch: [0][550/1562]	Time: 0.336 (0.340)	Epoch time [hr]: 0.052 (0.147)	Memory: 3.511 (4.358)	Loss: 1.9210 (2.1146)	Prec@1: 40.625 (21.654)	Prec@5: 87.500 (70.990)	Running Time: 195.687
Epoch: [0][560/1562]	Time: 0.353 (0.340)	Epoch time [hr]: 0.053 (0.148)	Memory: 3.511 (4.358)	Loss: 1.6254 (2.1099)	Prec@1: 50.000 (21.858)	Prec@5: 87.500 (71.223)	Running Time: 199.184
Epoch: [0][570/1562]	Time: 0.336 (0.340)	Epoch time [hr]: 0.054 (0.148)	Memory: 3.511 (4.358)	Loss: 1.9094 (2.1060)	Prec@1: 31.250 (21.979)	Prec@5: 87.500 (71.448)	Running Time: 202.607
Epoch: [0][580/1562]	Time: 0.339 (0.340)	Epoch time [hr]: 0.055 (0.148)	Memory: 3.511 (4.358)	Loss: 1.8467 (2.1033)	Prec@1: 31.250 (22.052)	Prec@5: 78.125 (71.563)	Running Time: 206.050
Epoch: [0][590/1562]	Time: 0.342 (0.340)	Epoch time [hr]: 0.056 (0.148)	Memory: 3.511 (4.358)	Loss: 1.8713 (2.1000)	Prec@1: 31.250 (22.187)	Prec@5: 84.375 (71.658)	Running Time: 209.491
Epoch: [0][600/1562]	Time: 0.353 (0.340)	Epoch time [hr]: 0.057 (0.148)	Memory: 3.563 (4.358)	Loss: 1.9866 (2.0960)	Prec@1: 28.125 (22.338)	Prec@5: 78.125 (71.922)	Running Time: 212.988
Epoch: [0][610/1562]	Time: 0.342 (0.340)	Epoch time [hr]: 0.058 (0.148)	Memory: 3.511 (4.358)	Loss: 1.9267 (2.0934)	Prec@1: 25.000 (22.504)	Prec@5: 87.500 (72.059)	Running Time: 216.429
Epoch: [0][620/1562]	Time: 0.340 (0.341)	Epoch time [hr]: 0.059 (0.148)	Memory: 3.511 (4.358)	Loss: 2.2329 (2.0906)	Prec@1: 18.750 (22.650)	Prec@5: 75.000 (72.257)	Running Time: 219.867
Epoch: [0][630/1562]	Time: 0.336 (0.341)	Epoch time [hr]: 0.060 (0.148)	Memory: 3.511 (4.358)	Loss: 1.8570 (2.0873)	Prec@1: 31.250 (22.781)	Prec@5: 93.750 (72.479)	Running Time: 223.267
Epoch: [0][640/1562]	Time: 0.330 (0.341)	Epoch time [hr]: 0.061 (0.148)	Memory: 3.511 (4.358)	Loss: 2.0599 (2.0850)	Prec@1: 21.875 (22.840)	Prec@5: 81.250 (72.616)	Running Time: 226.718
Epoch: [0][650/1562]	Time: 0.339 (0.341)	Epoch time [hr]: 0.062 (0.148)	Memory: 3.511 (4.358)	Loss: 1.8755 (2.0826)	Prec@1: 21.875 (22.965)	Prec@5: 81.250 (72.768)	Running Time: 230.114
Epoch: [0][660/1562]	Time: 0.342 (0.341)	Epoch time [hr]: 0.063 (0.148)	Memory: 3.511 (4.358)	Loss: 1.9435 (2.0798)	Prec@1: 28.125 (23.043)	Prec@5: 81.250 (72.958)	Running Time: 233.525
Epoch: [0][670/1562]	Time: 0.349 (0.341)	Epoch time [hr]: 0.063 (0.148)	Memory: 3.511 (4.358)	Loss: 1.9975 (2.0769)	Prec@1: 21.875 (23.151)	Prec@5: 81.250 (73.072)	Running Time: 236.932
Epoch: [0][680/1562]	Time: 0.327 (0.341)	Epoch time [hr]: 0.064 (0.148)	Memory: 3.511 (4.358)	Loss: 1.8078 (2.0753)	Prec@1: 34.375 (23.210)	Prec@5: 87.500 (73.160)	Running Time: 240.388
Epoch: [0][690/1562]	Time: 0.342 (0.341)	Epoch time [hr]: 0.065 (0.148)	Memory: 3.511 (4.358)	Loss: 1.8301 (2.0708)	Prec@1: 40.625 (23.449)	Prec@5: 81.250 (73.336)	Running Time: 243.831
Epoch: [0][700/1562]	Time: 0.342 (0.341)	Epoch time [hr]: 0.066 (0.148)	Memory: 3.511 (4.358)	Loss: 1.5551 (2.0661)	Prec@1: 46.875 (23.663)	Prec@5: 93.750 (73.542)	Running Time: 247.277
Epoch: [0][710/1562]	Time: 0.342 (0.341)	Epoch time [hr]: 0.067 (0.148)	Memory: 3.511 (4.358)	Loss: 1.7043 (2.0627)	Prec@1: 37.500 (23.791)	Prec@5: 90.625 (73.695)	Running Time: 250.760
Epoch: [0][720/1562]	Time: 0.349 (0.341)	Epoch time [hr]: 0.068 (0.148)	Memory: 3.511 (4.358)	Loss: 1.9551 (2.0601)	Prec@1: 28.125 (23.847)	Prec@5: 78.125 (73.821)	Running Time: 254.302
Epoch: [0][730/1562]	Time: 0.366 (0.341)	Epoch time [hr]: 0.069 (0.148)	Memory: 3.511 (4.358)	Loss: 1.8610 (2.0564)	Prec@1: 28.125 (23.983)	Prec@5: 78.125 (73.983)	Running Time: 257.851
